Series Name,Series Code,Country Name,Country Code,2023 [YR2023],2024 [YR2024]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,-4.644708708,-6.601185641
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,4.759764219,2.214489533
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,9.322173759,4.046114553
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,American Samoa,ASM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,AND,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,13.64410178,28.24049489
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,5.067138654,6.198866988
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Armenia,ARM,1.980418776,0.269511978
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Aruba,ABW,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Australia,AUS,5.597014925,3.161614283
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,7.81413417,2.937915743
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,8.785430498,2.212171889
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Bahamas, The",BHS,3.05291579,0.409162489
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bahrain,BHR,0.074620678,0.91963546
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,9.883503038,10.46574828
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Barbados,BRB,9.792070771,-0.462229168
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belarus,BLR,5.000599031,5.785319104
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,4.049010776,3.143491365
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belize,BLZ,4.389840175,3.28955986
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Benin,BEN,2.738700784,1.160930896
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bermuda,BMU,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bhutan,BTN,4.229344199,2.761315696
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bolivia,BOL,2.576888005,5.099765683
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,6.105901128,1.692127336
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,5.067615493,2.818351317
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,4.593562823,4.367464077
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,British Virgin Islands,VGB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,0.357064312,-0.388674165
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,9.442841401,2.44651943
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,0.742910429,4.191134464
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burundi,BDI,26.94148358,20.2124925
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cabo Verde,CPV,3.724375177,1.048170011
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,2.127467966,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cameroon,CMR,7.382813843,4.530612673
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,3.879001598,2.381583833
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cayman Islands,CYM,..,..
